mpi_procs;grid_tiles_x;grid_tiles_y;omp_threads;domain_size;n_iterations;disk_write_intensity;airflow;material_file;output_file;simulation_mode;middle_col_avg_temp;total_time;iteration_time
4;2;2;18;1024;19531;50;0.001;input_data_1024.h5;/scratch/project/dd-22-68/xpleva07/881641.isrv1/1024x1024_out_hybrid_2d_par.h5;par;29.2269;3.42038;0.000175126
4;2;2;18;1024;19531;50;0.001;input_data_1024.h5;/scratch/project/dd-22-68/xpleva07/881641.isrv1/1024x1024_out_hybrid_2d_par.h5;par;29.2269;5.93755;0.000304007
4;2;2;18;1024;19531;50;0.001;input_data_1024.h5;;par;29.2268;2.44116;0.000124989
4;2;2;18;1024;19531;50;0.001;input_data_1024.h5;/scratch/project/dd-22-68/xpleva07/881641.isrv1/1024x1024_out_hybrid_2d_par.h5;par;29.2268;3.99609;0.000204603
4;2;2;18;1024;19531;50;0.001;input_data_1024.h5;/scratch/project/dd-22-68/xpleva07/881641.isrv1/1024x1024_out_hybrid_2d_par.h5;par;29.2268;6.29164;0.000322136
4;2;2;18;2048;9765;50;0.001;input_data_2048.h5;;par;23.2938;2.66713;0.000273131
4;2;2;18;2048;9765;50;0.001;input_data_2048.h5;/scratch/project/dd-22-68/xpleva07/881641.isrv1/2048x2048_out_hybrid_2d_par.h5;par;23.2938;6.07932;0.000622562
4;2;2;18;2048;9765;50;0.001;input_data_2048.h5;/scratch/project/dd-22-68/xpleva07/881641.isrv1/2048x2048_out_hybrid_2d_par.h5;par;23.2938;22.5184;0.00230603
4;2;2;18;2048;9765;50;0.001;input_data_2048.h5;;par;23.2938;3.08487;0.00031591
4;2;2;18;2048;9765;50;0.001;input_data_2048.h5;/scratch/project/dd-22-68/xpleva07/881641.isrv1/2048x2048_out_hybrid_2d_par.h5;par;23.2938;6.43971;0.000659468
4;2;2;18;2048;9765;50;0.001;input_data_2048.h5;/scratch/project/dd-22-68/xpleva07/881641.isrv1/2048x2048_out_hybrid_2d_par.h5;par;23.2938;14.5659;0.00149164
4;2;2;18;4096;4882;50;0.001;input_data_4096.h5;;par;21.1716;5.56205;0.0011393
4;2;2;18;4096;4882;50;0.001;input_data_4096.h5;/scratch/project/dd-22-68/xpleva07/881641.isrv1/4096x4096_out_hybrid_2d_par.h5;par;21.1716;14.1361;0.00289556
4;2;2;18;4096;4882;50;0.001;input_data_4096.h5;/scratch/project/dd-22-68/xpleva07/881641.isrv1/4096x4096_out_hybrid_2d_par.h5;par;21.1716;24.1245;0.00494152
4;2;2;18;4096;4882;50;0.001;input_data_4096.h5;;par;21.1716;6.08922;0.00124728
4;2;2;18;4096;4882;50;0.001;input_data_4096.h5;/scratch/project/dd-22-68/xpleva07/881641.isrv1/4096x4096_out_hybrid_2d_par.h5;par;21.1716;14.5834;0.00298718
4;2;2;18;4096;4882;50;0.001;input_data_4096.h5;/scratch/project/dd-22-68/xpleva07/881641.isrv1/4096x4096_out_hybrid_2d_par.h5;par;21.1716;32.6335;0.00668446
8;2;4;18;256;78125;50;0.001;input_data_256.h5;;par;83.7937;2.07755;2.65926e-05
8;2;4;18;256;78125;50;0.001;input_data_256.h5;/scratch/project/dd-22-68/xpleva07/881641.isrv1/256x256_out_hybrid_2d_par.h5;par;83.7937;2.83982;3.63497e-05
8;2;4;18;256;78125;50;0.001;input_data_256.h5;/scratch/project/dd-22-68/xpleva07/881641.isrv1/256x256_out_hybrid_2d_par.h5;par;83.7937;7.3941;9.46445e-05
8;2;4;18;256;78125;50;0.001;input_data_256.h5;;par;83.7937;3.3253;4.25638e-05
8;2;4;18;256;78125;50;0.001;input_data_256.h5;/scratch/project/dd-22-68/xpleva07/881641.isrv1/256x256_out_hybrid_2d_par.h5;par;83.7937;4.07245;5.21274e-05
8;2;4;18;256;78125;50;0.001;input_data_256.h5;/scratch/project/dd-22-68/xpleva07/881641.isrv1/256x256_out_hybrid_2d_par.h5;par;83.7937;8.66361;0.000110894
8;2;4;18;512;39062;50;0.001;input_data_512.h5;;par;45.6217;1.37951;3.53158e-05
8;2;4;18;512;39062;50;0.001;input_data_512.h5;/scratch/project/dd-22-68/xpleva07/881641.isrv1/512x512_out_hybrid_2d_par.h5;par;45.6217;2.41997;6.1952e-05
8;2;4;18;512;39062;50;0.001;input_data_512.h5;/scratch/project/dd-22-68/xpleva07/881641.isrv1/512x512_out_hybrid_2d_par.h5;par;45.6217;5.33139;0.000136485
8;2;4;18;512;39062;50;0.001;input_data_512.h5;;par;45.6217;2.06154;5.27761e-05
8;2;4;18;512;39062;50;0.001;input_data_512.h5;/scratch/project/dd-22-68/xpleva07/881641.isrv1/512x512_out_hybrid_2d_par.h5;par;45.6217;3.08846;7.90655e-05
8;2;4;18;512;39062;50;0.001;input_data_512.h5;/scratch/project/dd-22-68/xpleva07/881641.isrv1/512x512_out_hybrid_2d_par.h5;par;45.6217;5.84783;0.000149706
8;2;4;18;1024;19531;50;0.001;input_data_1024.h5;;par;29.2269;1.20841;6.18711e-05
8;2;4;18;1024;19531;50;0.001;input_data_1024.h5;/scratch/project/dd-22-68/xpleva07/881641.isrv1/1024x1024_out_hybrid_2d_par.h5;par;29.2269;2.77949;0.000142312
8;2;4;18;1024;19531;50;0.001;input_data_1024.h5;/scratch/project/dd-22-68/xpleva07/881641.isrv1/1024x1024_out_hybrid_2d_par.h5;par;29.2269;4.11479;0.00021068
8;2;4;18;1024;19531;50;0.001;input_data_1024.h5;;par;29.2268;1.68972;8.6515e-05
8;2;4;18;1024;19531;50;0.001;input_data_1024.h5;/scratch/project/dd-22-68/xpleva07/881641.isrv1/1024x1024_out_hybrid_2d_par.h5;par;29.2268;3.24154;0.000165969
8;2;4;18;1024;19531;50;0.001;input_data_1024.h5;/scratch/project/dd-22-68/xpleva07/881641.isrv1/1024x1024_out_hybrid_2d_par.h5;par;29.2268;4.5506;0.000232994
8;2;4;18;2048;9765;50;0.001;input_data_2048.h5;;par;23.2938;1.70011;0.000174102
8;2;4;18;2048;9765;50;0.001;input_data_2048.h5;/scratch/project/dd-22-68/xpleva07/881641.isrv1/2048x2048_out_hybrid_2d_par.h5;par;23.2938;4.96692;0.000508645
8;2;4;18;2048;9765;50;0.001;input_data_2048.h5;/scratch/project/dd-22-68/xpleva07/881641.isrv1/2048x2048_out_hybrid_2d_par.h5;par;23.2938;6.98533;0.000715343
8;2;4;18;2048;9765;50;0.001;input_data_2048.h5;;par;23.2938;2.15865;0.00022106
8;2;4;18;2048;9765;50;0.001;input_data_2048.h5;/scratch/project/dd-22-68/xpleva07/881641.isrv1/2048x2048_out_hybrid_2d_par.h5;par;23.2938;5.03982;0.000516111
8;2;4;18;2048;9765;50;0.001;input_data_2048.h5;/scratch/project/dd-22-68/xpleva07/881641.isrv1/2048x2048_out_hybrid_2d_par.h5;par;23.2938;14.9105;0.00152693
8;2;4;18;4096;4882;50;0.001;input_data_4096.h5;;par;21.1716;2.40828;0.000493298
8;2;4;18;4096;4882;50;0.001;input_data_4096.h5;/scratch/project/dd-22-68/xpleva07/881641.isrv1/4096x4096_out_hybrid_2d_par.h5;par;21.1716;10.7045;0.00219265
8;2;4;18;4096;4882;50;0.001;input_data_4096.h5;/scratch/project/dd-22-68/xpleva07/881641.isrv1/4096x4096_out_hybrid_2d_par.h5;par;21.1716;9.12723;0.00186957
8;2;4;18;4096;4882;50;0.001;input_data_4096.h5;;par;21.1716;2.73394;0.000560004
8;2;4;18;4096;4882;50;0.001;input_data_4096.h5;/scratch/project/dd-22-68/xpleva07/881641.isrv1/4096x4096_out_hybrid_2d_par.h5;par;21.1716;10.8838;0.00222936
8;2;4;18;4096;4882;50;0.001;input_data_4096.h5;/scratch/project/dd-22-68/xpleva07/881641.isrv1/4096x4096_out_hybrid_2d_par.h5;par;21.1716;18.1017;0.00370785
16;4;4;18;256;78125;50;0.001;input_data_256.h5;;par;83.7937;2.23399;2.85951e-05
16;4;4;18;256;78125;50;0.001;input_data_256.h5;/scratch/project/dd-22-68/xpleva07/881641.isrv1/256x256_out_hybrid_2d_par.h5;par;83.7937;2.90277;3.71554e-05
16;4;4;18;256;78125;50;0.001;input_data_256.h5;/scratch/project/dd-22-68/xpleva07/881641.isrv1/256x256_out_hybrid_2d_par.h5;par;83.7937;8.94047;0.000114438
16;4;4;18;256;78125;50;0.001;input_data_256.h5;;par;83.7937;4.29464;5.49714e-05
16;4;4;18;256;78125;50;0.001;input_data_256.h5;/scratch/project/dd-22-68/xpleva07/881641.isrv1/256x256_out_hybrid_2d_par.h5;par;83.7937;5.03589;6.44594e-05
16;4;4;18;256;78125;50;0.001;input_data_256.h5;/scratch/project/dd-22-68/xpleva07/881641.isrv1/256x256_out_hybrid_2d_par.h5;par;83.7937;10.7954;0.000138182
16;4;4;18;512;39062;50;0.001;input_data_512.h5;;par;45.6217;1.33401;3.41511e-05
16;4;4;18;512;39062;50;0.001;input_data_512.h5;/scratch/project/dd-22-68/xpleva07/881641.isrv1/512x512_out_hybrid_2d_par.h5;par;45.6217;2.45473;6.2842e-05
16;4;4;18;512;39062;50;0.001;input_data_512.h5;/scratch/project/dd-22-68/xpleva07/881641.isrv1/512x512_out_hybrid_2d_par.h5;par;45.6217;5.36098;0.000137243
16;4;4;18;512;39062;50;0.001;input_data_512.h5;;par;45.6217;2.45576;6.28683e-05
16;4;4;18;512;39062;50;0.001;input_data_512.h5;/scratch/project/dd-22-68/xpleva07/881641.isrv1/512x512_out_hybrid_2d_par.h5;par;45.6217;3.49323;8.94278e-05
16;4;4;18;512;39062;50;0.001;input_data_512.h5;/scratch/project/dd-22-68/xpleva07/881641.isrv1/512x512_out_hybrid_2d_par.h5;par;45.6217;6.62936;0.000169714
16;4;4;18;1024;19531;50;0.001;input_data_1024.h5;;par;29.2269;0.970579;4.96943e-05
16;4;4;18;1024;19531;50;0.001;input_data_1024.h5;/scratch/project/dd-22-68/xpleva07/881641.isrv1/1024x1024_out_hybrid_2d_par.h5;par;29.2269;2.56099;0.000131124
16;4;4;18;1024;19531;50;0.001;input_data_1024.h5;/scratch/project/dd-22-68/xpleva07/881641.isrv1/1024x1024_out_hybrid_2d_par.h5;par;29.2269;4.0313;0.000206405
16;4;4;18;1024;19531;50;0.001;input_data_1024.h5;;par;29.2268;1.70918;8.7511e-05
16;4;4;18;1024;19531;50;0.001;input_data_1024.h5;/scratch/project/dd-22-68/xpleva07/881641.isrv1/1024x1024_out_hybrid_2d_par.h5;par;29.2268;3.33702;0.000170858
16;4;4;18;1024;19531;50;0.001;input_data_1024.h5;/scratch/project/dd-22-68/xpleva07/881641.isrv1/1024x1024_out_hybrid_2d_par.h5;par;29.2268;4.86656;0.000249171
16;4;4;18;2048;9765;50;0.001;input_data_2048.h5;;par;23.2938;1.10973;0.000113644
16;4;4;18;2048;9765;50;0.001;input_data_2048.h5;/scratch/project/dd-22-68/xpleva07/881641.isrv1/2048x2048_out_hybrid_2d_par.h5;par;23.2938;4.60235;0.000471311
16;4;4;18;2048;9765;50;0.001;input_data_2048.h5;/scratch/project/dd-22-68/xpleva07/881641.isrv1/2048x2048_out_hybrid_2d_par.h5;par;23.2938;13.8515;0.00141849
16;4;4;18;2048;9765;50;0.001;input_data_2048.h5;;par;23.2938;1.6577;0.000169759
16;4;4;18;2048;9765;50;0.001;input_data_2048.h5;/scratch/project/dd-22-68/xpleva07/881641.isrv1/2048x2048_out_hybrid_2d_par.h5;par;23.2938;4.81821;0.000493416
16;4;4;18;2048;9765;50;0.001;input_data_2048.h5;/scratch/project/dd-22-68/xpleva07/881641.isrv1/2048x2048_out_hybrid_2d_par.h5;par;23.2938;4.39148;0.000449716
16;4;4;18;4096;4882;50;0.001;input_data_4096.h5;;par;21.1716;1.62936;0.000333749
16;4;4;18;4096;4882;50;0.001;input_data_4096.h5;/scratch/project/dd-22-68/xpleva07/881641.isrv1/4096x4096_out_hybrid_2d_par.h5;par;21.1716;9.97349;0.00204291
16;4;4;18;4096;4882;50;0.001;input_data_4096.h5;/scratch/project/dd-22-68/xpleva07/881641.isrv1/4096x4096_out_hybrid_2d_par.h5;par;21.1716;6.71145;0.00137473
16;4;4;18;4096;4882;50;0.001;input_data_4096.h5;;par;21.1716;1.97166;0.000403863
16;4;4;18;4096;4882;50;0.001;input_data_4096.h5;/scratch/project/dd-22-68/xpleva07/881641.isrv1/4096x4096_out_hybrid_2d_par.h5;par;21.1716;10.3654;0.00212319
16;4;4;18;4096;4882;50;0.001;input_data_4096.h5;/scratch/project/dd-22-68/xpleva07/881641.isrv1/4096x4096_out_hybrid_2d_par.h5;par;21.1716;21.1014;0.00432228
